brand,name,old_price,old_price_cent,new_price,new_price_cent,reviews_rating_number,reviews_amount
UNDER ARMOUR,Tênis Under Armour Tribase Cross Se Treino Unissex,549,90,438,37,5.0,(4)
PUMA,Puma Skyrocket Lite Masculino Adultos,499,99,247,49,,
MIZUNO,Mizuno Space 3 Masculino Adultos,199,17,33,,4.8,(1425)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(5435)
FIBER,Tênis Fiber Fly Recovery,299,22,33,,4.8,(12)
DS SHOES,Tênis Casual Air Ds Leve E Confortavel,78,70,69,90,4.5,(806)
PUMA,Puma Skyrocket Lite Masculino Adultos,499,99,247,49,,
MIZUNO,Mizuno Space 3 Masculino Adultos,199,17,33,,4.8,(1425)
MIZUNO,Tênis Mizuno Masculino Wave Legend 2 Esportivo Corrida,639,90,467,12,,
MIZUNO,Tênis Running Masculino Mizuno Prophecy 13 Branco,2.223,34,222,,,
FILA,Tênis Fila Retro Flag Unissex Original ,399,99,271,99,4.9,(8)
MIZUNO,Tênis Olympikus Cyber 4 Masculino- Preto-dourado,249,12,31,,,
VILI,Sapatenis Tenis Casual Masculino Polo Vili  Original,104,49,78,36,4.6,(1681)
OLLIE,Tênis Street Ollie Masculino Kings Conforto,149,99,122,99,4.5,(700)
,Tênis Masculino Academia Leve Olimp Confortável Original 23,109,99,93,49,4.4,(6621)
UNDER ARMOUR,Tênis Under Armour Charged Quicker Masculino Branco,359,90,35,99,,
LORENZZO LOPEZ,Kit 3 Tênis Masculino Para Academia E Caminhada Levíssimo,179,90,149,31,,
MIZUNO,Kit Tênis Mizuno Masculino Wave Legend 2 + Meia Cano Médio,589,90,477,81,,
PUMA,Tênis Pacer Future Trail Puma Tênis Pacer Future Trail,409,90,358,80,5.0,(1)
OLLIE,Tênis Masculino Stones Ollie 402 ,162,14,154,03,,
LORENZZO LOPEZ,Kit 3 Tênis Masculino Esportivo Academia Super Leve,199,90,139,93,,
FILA,Tênis Fila Retro Flag Masculino Casual,399,89,39,99,,
MIZUNO,Tênis Mizuno Masculino Wave Mirai 5 Esportivo Corrida,529,90,386,82,5.0,(3)
NEW BALANCE,Tênis Esportivo Corrida Super Leve New Balance Coleção Nova,399,99,38,78,,
FILA,Tenis Esportivo Fila Masculino Confortável Respirável Treino,299,99,284,99,,
FILA,Tênis Fila Racer Gripper Unissex Original ,329,99,237,59,,
UNDER ARMOUR,Tênis Basquete Under Armour Curry 3z7 Masculino Esportivo,749,90,539,92,,
